regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
C2,512,loading projector,32,94.267239280664,95.35510829284806,92.91555580897766,97.10900203718484,93.71588595046968,96.25601955021588,100.0
C2,512,factor scores,32,-264.1673690371189,-161.91169871400785,-293.50345483715125,-130.5104492532102,-239.24341610292618,-135.3030015482023,0.0
C2,512,observation reconstruction,32,96.35197622087694,96.71444324281251,95.77234020496434,97.72591605182129,96.06947389568023,97.4940561181379,100.0
C2,512,latent-signal reconstruction,32,96.35197622087694,96.71444324281251,95.77234020496434,97.72591605182129,96.01619056431319,97.4940561181379,100.0
C2,2048,loading projector,32,97.86384483423235,98.48884985035983,97.44273861638851,98.92718360896656,97.9747832332293,98.81015725024714,100.0
C2,2048,factor scores,32,-73.60481475079959,-41.49742844959006,-88.04303548406554,-23.339227635425395,-66.94514479950365,-31.799086074396733,12.5
C2,2048,observation reconstruction,32,98.45948352947198,98.70843416296447,98.36676871060993,98.92953183551552,98.54446907991048,98.84866106902324,100.0
C2,2048,latent-signal reconstruction,32,98.45948352947198,98.70843416296447,98.36676871060993,98.92953183551552,98.5077419283539,98.84866106902324,100.0
C2,8192,loading projector,32,99.54559184532117,99.67340156559321,99.46276471280291,99.83766718923337,99.55129284644951,99.78590369645738,100.0
C2,8192,factor scores,32,14.452103421898325,22.339940702902396,4.359730427596839,33.97724276970372,12.878831445478758,31.961820469014135,78.125
C2,8192,observation reconstruction,32,99.38572339854849,99.44924832006456,99.28983677495037,99.56404268535908,99.36293474297291,99.5487044416096,100.0
C2,8192,latent-signal reconstruction,32,99.38572339854849,99.44924832006456,99.28983677495037,99.56404268535908,99.36442209486505,99.53891183076117,100.0
C3,512,loading projector,0,,,,,,,
C3,512,factor scores,0,,,,,,,
C3,512,observation reconstruction,32,-3.1634157071322617,-3.301669918983488,-3.951204482093916,-2.276512574193669,-3.7884105889134574,-2.7283821818167477,0.0
C3,512,latent-signal reconstruction,32,-701.4904696223957,-636.6241657259129,-878.6551038238105,-504.09092983211536,-787.9814164079759,-533.096952150931,0.0
C3,2048,loading projector,0,,,,,,,
C3,2048,factor scores,0,,,,,,,
C3,2048,observation reconstruction,32,-0.6351133787820068,-0.6125584728768267,-0.7150912327529706,-0.5325022326822106,-0.6873912200567515,-0.561113966152148,0.0
C3,2048,latent-signal reconstruction,32,-743.9082084236546,-658.1552105946837,-881.9587557641594,-526.5381627760253,-760.5781821971483,-576.0871825965348,0.0
C3,8192,loading projector,0,,,,,,,
C3,8192,factor scores,0,,,,,,,
C3,8192,observation reconstruction,32,-0.14467833427089066,-0.1398624315262948,-0.1792984855888665,-0.13004910364719366,-0.1653860708106714,-0.1321235377962423,0.0
C3,8192,latent-signal reconstruction,32,-772.2769394981833,-735.1906228046633,-1006.4472619667337,-537.5397966912456,-947.8956708881236,-609.9543391141892,0.0
G-C,512,loading projector,32,57.49843200977877,68.45699489816778,37.70036508252043,78.57534522095912,53.39634135735307,76.0761440689659,93.75
